N	Scattering	Std. error	Optimized	 Std. error
10	3.323694e-03	2.497830e-03	3.527133e-03	3.048802e-04
20	3.813516e-03	2.249449e-03	3.675439e-03	2.148494e-04
40	3.572400e-03	1.490588e-03	3.677391e-03	1.630184e-04
50	3.834630e-03	1.298090e-03	3.801880e-03	1.308746e-04
80	3.499469e-03	1.002246e-03	3.669768e-03	1.144668e-04
100	2.843938e-03	7.547422e-04	3.675316e-03	9.156617e-05
200	3.458767e-03	6.242897e-04	3.685879e-03	7.455454e-05
500	3.788759e-03	4.015379e-04	3.711359e-03	4.944469e-05
1000	3.865298e-03	3.126459e-04	3.702002e-03	2.981295e-05
2000	3.690689e-03	1.904564e-04	3.704360e-03	2.285062e-05
